epoch,train_loss,train_acc@1,train_acc@5,test_loss,test_acc@1,test_acc@5
1,1.96229986038208,33.93,80.824,1.7993889873504638,39.07,83.99
2,1.735804104232788,41.81,86.95,1.6889992933273315,42.74,86.86
3,1.654955505142212,44.269999999999996,88.504,1.6315248666763307,44.41,88.08
4,1.60641602973938,45.588,89.25800000000001,1.5940750331878661,45.800000000000004,88.72
5,1.5725313174438476,46.526,89.904,1.567192258644104,46.75,89.42999999999999
6,1.5471300034332276,47.21,90.298,1.5468010152816773,47.44,89.79
7,1.527243896408081,47.802,90.634,1.530749765586853,47.760000000000005,90.16999999999999
8,1.5111941417694092,48.224000000000004,90.846,1.5177634677886962,48.24,90.44
9,1.4979373610687257,48.622,91.092,1.5070284029006957,48.46,90.60000000000001
10,1.48678381690979,48.928,91.262,1.4979974905014037,48.72,90.82000000000001
11,1.4772566227722168,49.202,91.39399999999999,1.4902883283615111,49.04,90.97
12,1.4690144609069824,49.45,91.514,1.4836250337600707,49.15,91.14999999999999
13,1.4618061598968506,49.608000000000004,91.654,1.477803569984436,49.26,91.29
14,1.4554425885009765,49.774,91.766,1.4726696725845336,49.419999999999995,91.42
15,1.4497785499954223,49.932,91.862,1.4681047645568848,49.51,91.56
16,1.4447006008911132,50.004000000000005,91.962,1.4640160182952882,49.559999999999995,91.56
17,1.4401188592147827,50.098,92.074,1.4603299680709838,49.55,91.61
18,1.4359611270141601,50.198,92.13799999999999,1.4569874736785888,49.59,91.64999999999999
19,1.432168756980896,50.294000000000004,92.19800000000001,1.453940648651123,49.62,91.7
20,1.4286935659790039,50.394000000000005,92.268,1.4511501195907592,49.61,91.79
21,1.4254955987548827,50.458000000000006,92.33,1.448583334159851,49.669999999999995,91.89
22,1.4225414825057983,50.542,92.386,1.4462131071090698,49.64,91.89
23,1.4198030619049071,50.602000000000004,92.392,1.444016560935974,49.730000000000004,91.96
24,1.4172563865280152,50.660000000000004,92.43,1.4419742700576783,49.76,91.97
25,1.4148810358428956,50.739999999999995,92.428,1.4400697103500366,49.82,92.03
26,1.412659414138794,50.798,92.46,1.438288598060608,49.85,92.03
27,1.4105763046646118,50.83800000000001,92.52,1.436618717956543,49.86,92.11
28,1.408618452720642,50.885999999999996,92.55600000000001,1.4350493291854858,49.95,92.15
29,1.4067742792892457,50.956,92.58,1.4335711650848388,49.99,92.22
30,1.405033588294983,51.007999999999996,92.594,1.432176024055481,50.05,92.27
31,1.4033874461364746,51.06,92.61,1.4308567253112794,50.029999999999994,92.27
