epoch,train_loss,train_acc@1,train_acc@5,test_loss,test_acc@1,test_acc@5
1,4.725894749298096,48.354,90.508,3.03635772857666,55.769999999999996,92.72
2,2.988610101394653,49.866,91.122,2.4988162158966065,59.61,94.13
3,2.7548577346801757,50.346000000000004,91.056,2.687506512260437,57.11000000000001,92.91
4,2.505342025527954,50.632,91.192,2.0463171409606935,59.86,95.78999999999999
5,2.5118710959625243,50.61,91.23400000000001,2.045692298126221,59.89,94.47
6,2.5056910305023194,50.864,91.178,1.8396714317321778,59.019999999999996,94.96
7,2.5055374698638917,50.93600000000001,90.86800000000001,1.8458212810516357,60.07,95.64
8,2.313036906890869,51.160000000000004,91.322,2.488649225616455,54.21,94.56
9,2.4902330961608885,51.122,91.288,2.294558371734619,59.27,94.64
10,2.398782873878479,51.04,91.212,1.7572053833007812,61.029999999999994,94.84
11,2.238067387008667,51.751999999999995,91.46600000000001,1.7568533422470092,59.599999999999994,95.02000000000001
12,2.369446616973877,50.876,91.08800000000001,1.8741046261787415,61.040000000000006,93.86
13,2.3553515385437014,51.034,91.34400000000001,2.0313878612518312,57.56,95.02000000000001
14,2.2795989517974853,51.339999999999996,91.47800000000001,2.300331068229675,54.94,94.75
15,2.2808595778656007,51.239999999999995,91.258,2.7172095863342287,51.42,94.93
16,2.422801623840332,50.682,91.148,2.067548913574219,60.11,94.67999999999999
17,2.270731898498535,51.432,91.374,2.1064881795883177,57.550000000000004,94.75
18,2.3477884197235106,50.89399999999999,91.178,2.6773144344329833,53.02,95.54
19,2.2097464158630373,51.488,91.256,2.985219030952454,53.559999999999995,92.78
20,2.35407177154541,51.129999999999995,91.256,2.002647922897339,56.85,94.82000000000001
21,2.257515882949829,51.476,91.46600000000001,1.9422455699920653,58.919999999999995,95.14
22,2.282050924987793,51.50599999999999,91.56,2.2483739482879637,55.720000000000006,95.13000000000001
23,2.307163204269409,51.458000000000006,91.372,1.763149963760376,60.480000000000004,94.76
24,2.407623138885498,50.696,91.174,2.2465502073287964,60.34,95.6
25,2.328968585586548,50.99,91.386,2.6636839065551756,57.099999999999994,94.05
26,2.337832748260498,50.748000000000005,91.472,1.9659461382865906,57.19,95.86
27,2.251831482810974,51.182,91.33,2.0773157863616944,60.19,95.30999999999999
28,2.2845378559875487,51.292,91.34400000000001,1.7614786567687988,60.22,95.30999999999999
29,2.223930036239624,51.32,91.644,1.7717663902282714,60.51,95.00999999999999
30,2.3534886442565917,50.908,91.316,2.177030036735535,59.3,93.88
31,2.2786718074035646,51.55,91.53,2.2809318016052247,57.92,92.73
32,2.3679548066711424,51.2,91.22200000000001,2.6045537315368654,54.16,94.3
33,2.3547673944854735,50.966,91.17,1.7595866069793702,62.239999999999995,94.87
34,2.209894189682007,51.526,91.608,1.7844543787002562,60.28,95.74000000000001
35,2.291263652648926,51.566,91.314,2.5173173763275147,55.74,91.42
36,2.2966512309646605,51.354,91.16199999999999,1.7185249551773072,60.029999999999994,96.46000000000001
37,2.3639017166137695,51.298,91.4,2.08066151638031,60.97,95.00999999999999
38,2.3610533860015868,51.349999999999994,91.318,2.000582730388641,60.72,95.22
39,2.2833127989959716,51.470000000000006,91.766,1.8571091653823852,59.96,95.97
40,2.2594872440338136,51.342,91.50399999999999,1.959323740386963,59.550000000000004,94.57
41,2.347031045150757,50.798,91.05799999999999,2.041309469604492,58.089999999999996,95.77
42,2.2720225061798094,51.392,91.52,2.059940927886963,56.75,93.66
43,2.219749549560547,51.717999999999996,91.56,1.9174826999664307,58.89,94.08999999999999
44,2.3610919314575196,50.926,91.024,1.8617226301193237,61.79,95.93
45,2.239300830383301,51.50599999999999,91.594,2.0159574590682983,57.410000000000004,93.49
46,2.3044390219116213,51.024,91.468,2.39532610244751,53.32,94.34
47,2.302167945251465,51.052,91.388,2.1385549615859984,57.63,94.34
48,2.315579916534424,51.232,91.44,2.202981754684448,58.660000000000004,93.10000000000001
49,2.294149369049072,51.190000000000005,91.556,2.001258118057251,57.940000000000005,93.56
50,2.315879094924927,50.892,91.39,2.6268586683273316,53.66,93.19
51,2.3068146598815917,51.144,91.654,1.820910796737671,58.34,95.65
52,2.3409774185180665,51.126000000000005,91.154,2.4923148788452147,53.92,94.87
53,2.385084294128418,50.968,91.512,2.6465066539764406,57.57,94.23
54,2.3121391333007812,51.336000000000006,91.21000000000001,2.5873745391845704,53.98,94.6
55,2.354777627029419,51.112,91.218,2.0726006622314452,59.150000000000006,94.81
56,2.329474030609131,51.104000000000006,91.502,2.124513372039795,58.84,94.89999999999999
57,2.3889818813705443,50.79,91.22200000000001,2.2702999683380125,56.42,95.50999999999999
58,2.1972846966552733,51.052,91.482,1.7524984100341796,60.92999999999999,94.8
59,2.2923672137069704,51.188,91.2,2.429881192779541,58.650000000000006,93.53
